game_id,date,home_team,home_score,away_team,away_score,win_score,lose_score,win_team,lose_team,win_points,lose_points,win_point_diff,lose_point_diff
1,2003-01-23,China PR,0,Germany,0,0,0,China PR,Germany,2119,2162,-43,43
2,2003-01-23,Norway,1,USA,3,3,1,USA,Norway,2171,2165,6,-6
3,2003-01-26,Germany,2,Norway,2,2,2,Germany,Norway,2162,2165,-3,3
4,2003-01-26,China PR,2,USA,0,2,0,China PR,USA,2119,2171,-52,52
5,2003-01-29,USA,1,Germany,0,1,0,USA,Germany,2171,2162,9,-9
6,2003-01-29,China PR,1,Norway,1,1,1,China PR,Norway,2119,2165,-46,46
7,2003-03-14,USA,1,Canada,1,1,1,USA,Canada,2171,1849,322,-322
8,2003-03-14,Sweden,1,Norway,1,1,1,Sweden,Norway,2072,2165,-93,93
9,2003-03-14,Denmark,0,France,3,3,0,France,Denmark,1949,1974,-25,25
10,2003-03-14,China PR,0,Finland,0,0,0,China PR,Finland,2119,1764,355,-355
11,2003-03-14,Portugal,1,Wales,1,1,1,Portugal,Wales,1673,1438,235,-235
12,2003-03-14,Republic of Ireland,0,Greece,0,0,0,Republic of Ireland,Greece,1616,1418,198,-198
13,2003-03-16,Sweden,1,Canada,1,1,1,Sweden,Canada,2072,1849,223,-223
14,2003-03-16,Norway,0,USA,1,1,0,USA,Norway,2171,2165,6,-6
15,2003-03-16,Denmark,0,Finland,0,0,0,Denmark,Finland,1974,1764,210,-210
16,2003-03-16,China PR,3,France,0,3,0,China PR,France,2119,1949,170,-170
17,2003-03-16,Portugal,1,Greece,1,1,1,Portugal,Greece,1673,1418,255,-255
18,2003-03-16,Republic of Ireland,3,Wales,1,3,1,Republic of Ireland,Wales,1616,1438,178,-178
19,2003-03-18,Norway,1,Canada,0,1,0,Norway,Canada,2165,1849,316,-316
20,2003-03-18,USA,1,Sweden,1,1,1,USA,Sweden,2171,2072,99,-99
21,2003-03-18,France,1,Finland,0,1,0,France,Finland,1949,1764,185,-185
22,2003-03-18,China PR,2,Denmark,1,2,1,China PR,Denmark,2119,1974,145,-145
23,2003-03-18,Greece,2,Wales,0,2,0,Greece,Wales,1418,1438,-20,20
24,2003-03-18,Portugal,3,Republic of Ireland,2,3,2,Portugal,Republic of Ireland,1673,1616,57,-57
25,2003-03-20,Republic of Ireland,2,Wales,2,2,2,Republic of Ireland,Wales,1616,1438,178,-178
26,2003-03-20,Portugal,0,Denmark,1,1,0,Denmark,Portugal,1974,1673,301,-301
27,2003-03-20,Canada,7,Greece,1,7,1,Canada,Greece,1849,1418,431,-431
28,2003-03-20,Sweden,5,Finland,0,5,0,Sweden,Finland,2072,1764,308,-308
29,2003-03-20,Norway,1,France,0,1,0,Norway,France,2165,1949,216,-216
30,2003-03-20,USA,2,China PR,0,2,0,USA,China PR,2171,2119,52,-52
31,2003-03-26,Netherlands,0,Spain,1,1,0,Spain,Netherlands,1755,1833,-78,78
32,2003-03-27,Germany,5,Scotland,0,5,0,Germany,Scotland,2162,1672,490,-490
33,2003-03-30,Italy,8,Serbia and Montenegro,0,8,0,Italy,Serbia and Montenegro,1938,1709,229,-229
34,2003-04-05,Cook Islands,1,Papua New Guinea,5,5,1,Papua New Guinea,Cook Islands,0,0,0,0
35,2003-04-05,Australia,19,Samoa,0,19,0,Australia,Samoa,1833,0,1833,-1833
36,2003-04-07,Australia,11,Cook Islands,0,11,0,Australia,Cook Islands,1833,0,1833,-1833
37,2003-04-07,Samoa,0,New Zealand,15,15,0,New Zealand,Samoa,1762,0,1762,-1762
38,2003-04-09,Peru,3,Bolivia,1,3,1,Peru,Bolivia,1609,0,1609,-1609
39,2003-04-09,Ecuador,2,Venezuela,0,2,0,Ecuador,Venezuela,0,0,0,0
40,2003-04-09,Argentina,3,Paraguay,0,3,0,Argentina,Paraguay,1608,1343,265,-265
41,2003-04-09,Cook Islands,0,New Zealand,9,9,0,New Zealand,Cook Islands,1762,0,1762,-1762
42,2003-04-09,Australia,13,Papua New Guinea,0,13,0,Australia,Papua New Guinea,1833,0,1833,-1833
43,2003-04-11,Bolivia,7,Chile,1,7,1,Bolivia,Chile,0,0,0,0
44,2003-04-11,Colombia,8,Venezuela,0,8,0,Colombia,Venezuela,0,0,0,0
45,2003-04-11,Uruguay,1,Paraguay,3,3,1,Paraguay,Uruguay,1343,1363,-20,20
46,2003-04-11,Papua New Guinea,0,New Zealand,5,5,0,New Zealand,Papua New Guinea,1762,0,1762,-1762
47,2003-04-11,Cook Islands,0,Samoa,1,1,0,Samoa,Cook Islands,0,0,0,0
48,2003-04-13,Papua New Guinea,5,Samoa,2,5,2,Papua New Guinea,Samoa,0,0,0,0
49,2003-04-13,Australia,2,New Zealand,0,2,0,Australia,New Zealand,1833,1762,71,-71
50,2003-04-13,Peru,2,Chile,1,2,1,Peru,Chile,1609,0,1609,-1609
51,2003-04-13,Ecuador,1,Colombia,1,1,1,Ecuador,Colombia,0,0,0,0
52,2003-04-13,Argentina,8,Uruguay,0,8,0,Argentina,Uruguay,1608,1363,245,-245
53,2003-04-18,Sweden,6,Switzerland,0,6,0,Sweden,Switzerland,2072,1693,379,-379
54,2003-04-19,Poland,0,Hungary,2,2,0,Hungary,Poland,1723,1684,39,-39
55,2003-04-19,Bosnia and Herzegovina,0,Croatia,1,1,0,Croatia,Bosnia and Herzegovina,1570,1219,351,-351
56,2003-04-23,Brazil,3,Argentina,2,3,2,Brazil,Argentina,2037,1608,429,-429
57,2003-04-23,Peru,0,Colombia,1,1,0,Colombia,Peru,0,1609,-1609,1609
58,2003-04-25,Colombia,2,Argentina,3,3,2,Argentina,Colombia,1608,0,1608,-1608
59,2003-04-25,Peru,0,Brazil,3,3,0,Brazil,Peru,2037,1609,428,-428
60,2003-04-27,Brazil,12,Colombia,0,12,0,Brazil,Colombia,2037,0,2037,-2037
61,2003-04-27,Peru,1,Argentina,1,1,1,Peru,Argentina,1609,1608,1,-1
62,2003-05-10,Ukraine,0,Portugal,1,1,0,Portugal,Ukraine,1673,1806,-133,133
63,2003-05-10,Austria,11,Armenia,0,11,0,Austria,Armenia,1522,0,1522,-1522
64,2003-05-11,Hungary,0,France,4,4,0,France,Hungary,1949,1723,226,-226
65,2003-05-13,Armenia,0,Austria,11,11,0,Austria,Armenia,1522,0,1522,-1522
66,2003-05-15,Norway,2,Netherlands,0,2,0,Norway,Netherlands,2165,1833,332,-332
67,2003-05-17,Sweden,5,Italy,0,5,0,Sweden,Italy,2072,1938,134,-134
68,2003-05-17,Switzerland,1,Serbia and Montenegro,0,1,0,Switzerland,Serbia and Montenegro,1693,1709,-16,16
69,2003-05-17,Belarus,5,Estonia,0,5,0,Belarus,Estonia,1578,1236,342,-342
70,2003-05-18,Russia,6,Poland,0,6,0,Russia,Poland,1896,1684,212,-212
71,2003-05-18,Scotland,5,Ukraine,1,5,1,Scotland,Ukraine,1672,1806,-134,134
72,2003-05-18,Republic of Ireland,6,Bosnia and Herzegovina,0,6,0,Republic of Ireland,Bosnia and Herzegovina,1616,1219,397,-397
73,2003-05-25,Croatia,0,Republic of Ireland,0,0,0,Croatia,Republic of Ireland,1570,1616,-46,46
74,2003-06-01,Finland,1,Switzerland,1,1,1,Finland,Switzerland,1764,1693,71,-71
75,2003-06-07,Portugal,1,Scotland,8,8,1,Scotland,Portugal,1672,1673,-1,1
76,2003-06-08,Ukraine,1,Czech Republic,1,1,1,Ukraine,Czech Republic,1806,1730,76,-76
77,2003-06-08,Thailand,3,Singapore,0,3,0,Thailand,Singapore,1586,1202,384,-384
78,2003-06-08,Korea Republic,8,Hong Kong,0,8,0,Korea Republic,Hong Kong,1697,1364,333,-333
79,2003-06-09,Japan,15,Philippines,0,15,0,Japan,Philippines,1855,1248,607,-607
80,2003-06-09,Guam,1,Chinese Taipei,2,2,1,Chinese Taipei,Guam,1766,1375,391,-391
81,2003-06-09,China PR,6,Vietnam,0,6,0,China PR,Vietnam,2119,1554,565,-565
82,2003-06-09,India,6,Uzbekistan,0,6,0,India,Uzbekistan,1422,1536,-114,114
83,2003-06-10,Thailand,0,Korea Republic,6,6,0,Korea Republic,Thailand,1697,1586,111,-111
84,2003-06-10,Korea DPR,13,Hong Kong,0,13,0,Korea DPR,Hong Kong,1991,1364,627,-627
